userId,movieId,rating
1,1,3.5
1,2,4.0
1,3,4.5
1,4,3.0
1,5,2.5
1,6,4.5
1,7,3.5
1,8,5.0
1,9,4.0
1,10,3.5
1,11,4.0
1,12,4.5
1,13,4.0
1,14,3.5
1,15,3.0
1,16,4.0
1,17,3.5
1,18,4.5
1,19,2.5
1,20,3.0
1,21,3.5
1,22,4.0
1,23,4.5
1,24,3.0
1,25,2.0
1,26,4.0
1,27,3.5
1,28,4.5
1,29,4.0
1,30,2.5
1,31,4.0
1,32,4.5
1,33,3.5
1,34,3.0
1,35,4.5
1,36,3.5
1,37,4.0
1,38,4.0
1,39,4.5
1,40,2.5
1,41,3.5
1,42,4.5
1,43,3.5
1,44,3.0
1,45,4.0
1,46,2.5
1,47,3.0
1,48,4.5
1,49,3.5
1,50,3.0
2,1,3.0
2,2,5.0
2,3,5.0
2,4,2.5
2,5,3.0
2,6,3.5
2,7,4.0
2,8,4.5
2,9,4.0
2,10,3.0
2,11,3.5
2,12,4.0
2,13,4.5
2,14,3.0
2,15,3.5
2,16,4.0
2,17,3.0
2,18,4.0
2,19,2.5
2,20,3.0
2,21,4.0
2,22,4.5
2,23,4.5
2,24,2.5
2,25,1.5
2,26,3.5
2,27,3.0
2,28,4.0
2,29,3.5
2,30,2.0
2,31,4.0
2,32,4.0
2,33,3.5
2,34,2.5
2,35,4.0
2,36,3.0
2,37,4.0
2,38,3.5
2,39,4.0
2,40,2.5
2,41,3.0
2,42,4.0
2,43,3.5
2,44,3.0
2,45,3.5
2,46,2.0
2,47,2.5
2,48,4.0
2,49,3.5
2,50,3.0
3,1,2.5
3,2,3.0
3,3,4.0
3,4,4.5
3,5,1.5
3,6,4.0
3,7,4.5
3,8,4.0
3,9,3.0
3,10,2.5
3,11,3.0
3,12,3.5
3,13,4.5
3,14,2.5
3,15,2.0
3,16,4.0
3,17,2.0
3,18,3.5
3,19,1.5
3,20,2.5
3,21,3.5
3,22,4.0
3,23,4.0
3,24,2.0
3,25,1.0
3,26,3.0
3,27,3.5
3,28,4.0
3,29,3.0
3,30,2.0
3,31,3.5
3,32,3.0
3,33,3.5
3,34,2.5
3,35,3.5
3,36,2.5
3,37,3.0
3,38,3.0
3,39,3.5
3,40,1.5
3,41,3.0
3,42,3.5
3,43,3.0
3,44,2.5
3,45,3.0
3,46,1.5
3,47,2.0
3,48,3.5
3,49,3.0
3,50,2.0
4,1,4.0
4,2,4.5
4,3,5.0
4,4,3.5
4,5,2.0
4,6,4.0
4,7,4.5
4,8,5.0
4,9,3.5
4,10,3.0
4,11,4.5
4,12,4.0
4,13,4.5
4,14,3.5
4,15,3.0
4,16,4.0
4,17,4.5
4,18,4.5
4,19,2.0
4,20,3.5
4,21,4.0
4,22,4.5
4,23,4.5
4,24,2.5
4,25,2.0
4,26,3.5
4,27,4.0
4,28,4.5
4,29,3.5
4,30,3.0
4,31,4.5
4,32,4.0
4,33,4.0
4,34,3.0
4,35,4.5
4,36,4.0
4,37,4.0
4,38,3.5
4,39,4.0
4,40,2.5
4,41,3.5
4,42,4.0
4,43,3.5
4,44,3.0
4,45,3.5
4,46,2.5
4,47,2.5
4,48,4.5
4,49,4.0
4,50,3.5
5,1,3.5
5,2,4.0
5,3,5.0
5,4,2.5
5,5,2.0
5,6,3.0
5,7,3.5
5,8,4.0
5,9,3.5
5,10,2.5
5,11,4.0
5,12,4.5
5,13,4.5
5,14,3.0
5,15,3.0
5,16,4.0
5,17,3.5
5,18,4.0
5,19,2.0
5,20,3.0
5,21,4.0
5,22,4.5
5,23,4.5
5,24,2.5
5,25,2.0
5,26,3.5
5,27,3.0
5,28,4.0
5,29,3.5
5,30,2.0
5,31,4.0
5,32,3.5
5,33,4.0
5,34,2.5
5,35,4.0
5,36,3.5
5,37,3.5
5,38,3.0
